hokkaido,豚丼,ぶたどん,豚肉を焼いて砂糖醤油味の甘辛いタレで味付けしたものを具とした丼物
aomori,味噌カレー牛乳ラーメン,みそかれーぎゅうにゅうらーめん,味噌をベースに、カレー粉、牛乳を入れたラーメンで、バターがトッピングされたラーメン
iwate,盛岡じゃじゃ麺,もりおかじゃじゃめん,平たい麺に特製の肉味噌をかけた料理
miyagi,横手焼きそば,よこてやきそば,太い角麺を茹で、ウスターソースで味付け、半熟の目玉焼きを乗せた焼きそば
akita,油麩丼,あぶらふどん,カツ丼のカツの代わりに油麩を用いたもの
yamagata,冷やしラーメン,ひやしらーめん,冷たいスープのラーメン。冷やし中華と別物
fukushima,クリームボックス,クリームボックス,食パンに白いミルク風味のクリームを塗った菓子パン
ibaraki,みつだんご,みつだんご,溶いた小麦粉でつくった団子を焼いて串に挿し、「みつ」を絡めさせ、きな粉をまぶした菓子
tochigi,レモン牛乳,れもんぎゅうにゅう,無脂肪牛乳や生乳に甘味とレモンの香りを加え黄色く着色した乳飲料
gunma,伊勢崎もんじゃ,いせざきもんじゃ,隠し味にイチゴシロップやカレー粉を加えたもんじゃ焼き
saitama,やきとり,やきとり,鶏肉ではなく、豚のカシラ肉を串焼きにしたもの。にんにく唐辛子味噌で食べる料理
chiba,勝浦タンタンメン,かつうらたんたんめん,所謂「坦々麺」とは異なり、醤油ベースのスープにラー油で炒めた玉葱と挽肉をのせたラーメン
tokyo,からし焼,からしやき,豚肉と豆腐をにんにくと唐辛子で甘辛く煮込んだ料理
kanagawa,厚木シロコロ・ホルモン,あつぎシロコロホルモン,管状のままぶつ切りした豚の腸を下茹でせずに網焼きしたもの
niigata,イタリアン,イタリアン,ソース焼きそばの上にミートソースをかけた料理
toyama,富山ブラック,とやまぶらっく,醤油ラーメンで、普通の醤油ラーメンより味が濃いのが特徴
ishikawa,ハントンライス,ハントンライス,ケチャップで味付けしたバターライスの上に、半熟の薄焼き卵と白身魚のフライを乗せ、タルタルソースをかけた料理
fukui,ボルガライス,ボルガライス,オムライスの上にカツをのせ、デミグラスソースをかけた料理
yamanashi,甲府鳥もつ煮,こうふとりもつに,鶏のモツを砂糖と醤油だけで煮込んだもの
nagano,ローメン,ローメン,マトンなどの肉と野菜を炒め、蒸した太めの中華麺を加えた麺料理
gifu,鶏ちゃん,とりちゃん,下味のついた鶏肉を野菜と一緒に焼いた料理
shizuoka,つけナポリタン,つけナポリタン,トマトベースのつけダレにスパゲッティの麺をつけて食べる料理
aichi,豊橋カレーうどん,とよはしかれーうどん,底にとろろご飯が入っているカレーうどん
mie,しぐれ肉巻きおにぎり,しぐれにくまきおにぎり,時雨あさりを使用した時雨ご飯を、豚肉で巻いて作るおにぎり
shiga,サラダパン,サラダパン,マヨネーズで和えた刻みたくあんのペーストをコッペパンに挟んだ惣菜パン
kyoto,にしんそば,にしんそば,身欠きにしんの甘煮を載せた温かいそば
osaka,串カツ,くしかつ,小ぶりに切った肉や魚介類、野菜を個別に串に刺して衣をまぶして揚げた料理です。ソースの二度漬けは禁止
hyogo,玉子焼,たまごやき,明石焼きとも呼ばれる料理で、鶏卵・出汁・浮粉の生地にタコを入れて一口大に焼き上げたものです。大阪のたこ焼きとは別物
nara,かっぱ鍋,かっぱなべ,牛肉の希少部位「かっぱ（前腹の皮と脂身の間にある赤いスジ肉）」と、水菜、油揚げ、豆腐などを味付け出汁で炊いたはりはり鍋
wakayama,せち焼き,せちやき,卵で固めた焼きそば
tottori,牛骨ラーメン,ぎゅうこつらーめん,牛骨を使ったラーメン
shimane,赤天,あかてん,赤唐辛子を練り込んだ揚げかまぼこ
okayama,ひるぜん焼きそば,ひるぜんやきそば,ジンギスカンのタレや味噌ダレで味付けした焼きそばで、具材にカシワ肉（老鶏の肉）を使うのも特徴的
hiroshima,広島つけ麺,ひろしまつけめん,辛口のつけだれのつけ麺
yamaguchi,瓦そば,かわらそば,熱した瓦の上で茶そばを焼き、牛肉や薄焼き卵と共に食べる料理
tokushima,フィッシュカツ,フィッシュカツ,魚のすり身に香辛料を入れ、パン粉をまぶして揚げた料理
kagawa,骨付鳥,ほねつきどり,塩コショウとニンニクで下味をつけた骨付きの鶏もも肉を焼いたもの
ehime,フィッシュカツ,フィッシュカツ,じゃこ天にパン粉をつけて揚げた料理
kochi,鍋焼きラーメン,なべやきラーメン,土鍋で煮込んだ鶏ガラスープのラーメン。具材の種類など「7つの定義」があるのも特徴
fukuoka,天窓,てんまど,焼きうどんの上に卵を落として焼いた料理
saga,シシリアンライス,シシリアンライス,ご飯の上に甘辛いタレで炒めた薄切り肉と生野菜を盛り付けた料理
nagasaki,トルコライス,トルコライス,ピラフ、ナポリタンスパゲティ、豚カツがのった盛り合わせ料理
kumamoto,太平燕,タイピーエン,春雨スープに五目炒めを合わせ、揚げ玉子を添えた料理
oita,とり天,とりてん,鶏肉に天ぷら衣をつけて揚げた料理
miyazaki,ヨーグルッペ,ヨーグルッペ,南日本酪農協同が販売している乳酸菌飲料
kagoshima,鶏飯,けいはん,鶏肉や錦糸卵などの具材を載せたご飯に鶏のスープをかけて食べます。だし茶漬けに似た料理
okinawa,ポーポー,ポーポー,小麦粉を水で溶いて薄焼きにし、味噌やソースを塗って巻いた軽食
